adult,genres,id,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,status,title,vote_average,vote_count,likeable
0,28,640146,26.0,0.024566964807052942,420,235.0,125,26.0,1,Ant-Man and the Wasp: Quantumania,0.6000000000000001,0.11852770646436092,0
0,10752,882569,26.0,0.021185132657698537,47729,234.0,123,26.0,1,Guy Ritchie's The Covenant,0.8,0.051172584878991546,1
0,28,744278,50.0,0.019960351127488434,86177,110.0,117,50.0,1,Mondocane,0.6000000000000001,0.003605734560244613,0
0,35,841651,26.0,0.014532620272702076,155956,235.0,89,26.0,1,Secret Agent Dingledorf and His Trusty Dog Splat,0.5,8.653762944587071e-05,0
0,35,814309,28.0,0.025013401544026714,53440,209.0,107,28.0,1,Not Such An Easy Life,0.7000000000000001,0.00017307525889174142,0
0,10749,1173558,85.0,0.020968456775271937,80325,32.0,99,85.0,1,Burning Betrayal,0.6000000000000001,0.00121152681224219,0
0,878,536554,26.0,0.01748827628707585,76907,235.0,102,26.0,1,M3GAN,0.7000000000000001,0.0959125393025067,1
0,28,979275,26.0,0.022965392359220477,68628,40.0,111,26.0,1,Mob Land,0.6000000000000001,0.0011826809357602332,0
0,16,1047041,52.0,0.01859121280807723,7164,112.0,110,52.0,1,Detective Conan: Black Iron Submarine,0.6000000000000001,0.001240372688724147,0
0,12,299536,26.0,0.022202805811978803,420,235.0,149,26.0,1,Avengers: Infinity War,0.8,0.803876885799175,1
0,35,1180731,26.0,0.01393043015790607,20580,235.0,0,26.0,1,Make Me Scream,0.6000000000000001,0.0001442293824097845,0
0,27,800198,26.0,0.018787768787135648,163458,235.0,77,26.0,1,Know Fear,0.7000000000000001,0.00031730464130152596,0
0,27,1102425,26.0,0.014944163750687668,145644,40.0,83,26.0,1,Don't Look Away,0.5,0.00017307525889174142,0
0,53,946215,26.0,0.015725181817798098,135511,110.0,87,26.0,1,In the Fire,0.6000000000000001,0.0004326881472293536,0
0,28,254128,26.0,0.019746770614810786,12,40.0,114,26.0,1,San Andreas,0.6000000000000001,0.2328727608388381,1
0,16,1146348,26.0,0.019373778560062133,2785,235.0,79,26.0,1,"Scooby-Doo! And Krypto, Too!",0.8,0.001153835059278276,1
0,27,17209,26.0,0.02006756347970212,20451,235.0,91,26.0,1,Madhouse,0.6000000000000001,0.003894193325064182,0
0,80,40108,25.0,0.013283216483125311,83292,59.0,91,25.0,1,Emmanuelle: Queen of Sados,0.6000000000000001,0.0010961433063143623,0
0,35,1018754,26.0,0.013207802020150858,99366,235.0,92,26.0,1,Shortcomings,0.6000000000000001,0.0008365304179767503,0
0,28,868759,26.0,0.0179005232581862,82819,235.0,117,26.0,1,Ghosted,0.7000000000000001,0.03940346727435313,0
0,27,713704,26.0,0.018002951857151502,12,107.0,96,26.0,1,Evil Dead Rise,0.7000000000000001,0.06879741540946721,0
0,28,457332,26.0,0.018526069344724297,79732,46.0,103,26.0,1,Hidden Strike,0.7000000000000001,0.02252862953240834,0
0,18,677179,26.0,0.019265299920223883,21,235.0,116,28.0,1,Creed III,0.7000000000000001,0.05867251276430034,0
0,35,594767,26.0,0.02149382544084397,12,235.0,130,26.0,1,Shazam! Fury of the Gods,0.7000000000000001,0.07156661955173507,1
0,28,675353,26.0,0.018442212964252705,333,112.0,123,26.0,1,Sonic the Hedgehog 2,0.8,0.12371996423111316,1
0,28,869855,76.0,0.016585553909381646,31279,22.0,87,76.0,1,H4Z4RD,0.6000000000000001,0.0006346092826030519,0
0,27,423108,26.0,0.019629990756100342,12,235.0,111,26.0,1,The Conjuring: The Devil Made Me Do It,0.7000000000000001,0.15793117373871404,1
0,27,663712,26.0,0.020954949707276512,84591,235.0,138,26.0,1,Terrifier 2,0.7000000000000001,0.04173998326939164,0
0,16,947507,77.0,0.015139031346246654,32314,166.0,76,77.0,1,Just Super,0.6000000000000001,0.00031730464130152596,0
0,28,345887,26.0,0.019180599348002574,41096,235.0,121,5.0,1,The Equalizer 2,0.7000000000000001,0.13739290968356074,1
0,80,433499,26.0,0.015229078466216153,59593,235.0,91,26.0,1,Finding Steve McQueen,0.6000000000000001,0.002942279401159604,0
0,28,505642,26.0,0.018423218649884138,420,235.0,162,26.0,1,Black Panther: Wakanda Forever,0.7000000000000001,0.16067153200449996,1
0,28,606403,58.0,0.015868272319374627,20064,119.0,109,58.0,1,Special Delivery,0.7000000000000001,0.004067268583955923,0
0,27,1006947,26.0,0.021406451594748566,75267,235.0,99,26.0,1,Suitable Flesh,0.6000000000000001,0.0004038422707473967,0
0,12,507086,26.0,0.019331709671201385,56,235.0,147,26.0,1,Jurassic World Dominion,0.7000000000000001,0.15224853607176855,1
0,28,361743,26.0,0.01855364627521495,82819,235.0,131,26.0,1,Top Gun: Maverick,0.8,0.2217382525168027,1
0,16,585083,26.0,0.017507833395944222,2251,235.0,92,26.0,1,Hotel Transylvania: Transformania,0.7000000000000001,0.048057230218940206,0
0,10751,790493,26.0,0.015560283029353958,82819,235.0,98,26.0,1,Spy Kids: Armageddon,0.6000000000000001,0.002480745377448294,0
0,18,324786,26.0,0.016942084225010874,50481,14.0,139,52.0,1,Hacksaw Ridge,0.8,0.36815992153921595,1
0,16,1150394,28.0,0.015837318621885112,9965,144.0,89,28.0,1,The Legend of the Spirits,0.8,0.005451870655089855,1
0,16,585511,26.0,0.015218385370719775,115416,209.0,105,26.0,1,Luck,0.8,0.042172671416620996,1
0,18,61108,35.0,0.025325893190045856,6060,76.0,80,35.0,1,Emmanuelle 6,0.4,0.000605763406121095,0
0,27,1145851,28.0,0.013645234045127679,149886,209.0,0,28.0,1,El hombre del saco,0.5,0.0006923010355669657,0
0,16,916224,52.0,0.01837087876140187,3756,112.0,123,52.0,1,Suzume,0.8,0.021259410967202238,1
0,27,646385,26.0,0.018436725717879562,4,235.0,114,26.0,1,Scream,0.7000000000000001,0.0814607551850463,1
0,28,436270,26.0,0.01841745000626109,12,235.0,124,26.0,1,Black Adam,0.7000000000000001,0.15948885106873972,1
0,878,580489,26.0,0.018075411649001956,7505,235.0,97,26.0,1,Venom: Let There Be Carnage,0.7000000000000001,0.26673781982865546,1
0,16,923579,90.0,0.01466684676090661,103418,183.0,80,90.0,1,Cats in the Museum,0.7000000000000001,0.0010096056768684916,0
